lemma	tag
"abah-abah kuda"	noun
"abah-abah perahu"	noun
"abah-abah tenun"	noun
"abar-abar pintu"	noun
"abdi dalem"	noun
"abdi masyarakat"	noun
"abdi negara"	noun
"aberasi cahaya"	noun
"aberasi kromosom"	noun
"aborsi kriminalis"	noun
"aborsi legal"	noun
"abortus habitualis"	noun
"abortus inkomplet"	noun
"abortus komplet"	noun
"abortus provokatus"	noun
"absorpsi aktif"	noun
"absorpsi pasif"	noun
"abu soda"	noun
"abu terbang"	noun
"abu tulang"	noun
"abu vulkanis"	noun
"acara iklan"	noun
"acara niaga"	noun
"acara rapat"	noun
"acara surat"	noun
"acara tugas"	noun
"aci sagu"	verb
"acuan cetak"	noun
"acuan sepatu"	noun
"acuh tak acuh"	verb
"ada-ada saja"	verb
"adaptasi cahaya"	noun
"adaptasi kebudayaan"	noun
"adaptasi sosial"	noun
"adat bilokal"	noun
"adat huma"	noun
"adat istiadat"	noun
"adat kemenakan"	noun
"adat matrilineal"	noun
"adat matrilokal"	noun
"adat neolokal"	noun
"adat patrilokal"	noun
"adat pemaduan"	noun
"adat pemali"	noun
"adat pembakaran mayat"	noun
"adat pembiaran mayat"	noun
"adat pembuang"	noun
"adegan kecil"	noun
"adegan panas"	noun
"adegan pengikat"	noun
"adegan terbuka"	noun
"adegan wajib"	noun
"adik bungsu"	noun
"adik ipar"	noun
"adik seayah"	noun
"adik seibu"	noun
"adik seibu seayah"	noun
"adik sepupu"	noun
"adiksi seksual"	noun
"administrasi arsip"	noun
"administrasi kearsipan"	noun
"administrasi perpustakaan"	noun
"administrasi program"	noun
"afasia motoris"	noun
"afasia sensoris"	noun
"afiks homofon"	noun
"afiks terbuka"	noun
"afiks tertutup"	noun
"agama samawi"	noun
"agen asuransi"	noun
"agen buku"	noun
"agen federal"	noun
"agen kargo"	noun
"agen muatan"	noun
"agen pelawatan"	noun
"agen pemain"	noun
"agen pembaharuan"	noun
"agen pengarang"	noun
"agen penyalur"	noun
"agen perjalanan"	noun
"agen polisi"	noun
"agen publisitas"	noun
"agen rahasia"	noun
"agen siasat"	noun
"agen tunggal"	noun
"agen tunggal"	noun
"agen wol"	noun
"agenda politik"	noun
"agregat kering"	noun
"agresif ofensif"	adjective
"ahli agama"	noun
"ahli bahasa"	noun
"ahli bait"	noun
"ahli bedah"	noun
"ahli bumi"	noun
"ahli famili"	noun
"ahli filsafat"	noun
"ahli fisika"	noun
"ahli fitopatologi"	noun
"ahli gempa"	noun
"ahli geofisika"	noun
"ahli geologi"	noun
"ahli geologi minyak"	noun
"ahli hadis"	noun
"ahli hadis"	noun
"ahli hukum"	noun
"ahli ibadah"	noun
"ahli ilmu racun"	noun
"ahli informasi"	noun
"ahli kitab"	noun
"ahli kubur"	noun
"ahli maksiat"	noun
"ahli matematika"	noun
"ahli media"	noun
"ahli mesin kapal"	noun
"ahli mikologi"	noun
"ahli multimedia"	noun
"ahli nujum"	noun
"ahli nujum"	noun
"ahli obat"	noun
"ahli patung"	noun
"ahli peneliti madya"	noun
"ahli peneliti muda"	noun
"ahli peneliti utama"	noun
"ahli peserta"	noun
"ahli pikir"	noun
"ahli purbakala"	noun
"ahli rumah"	noun
"ahli seismologi"	noun
"ahli sejarah"	noun
"ahli sihir"	noun
"ahli sufah"	noun
"ahli sufi"	noun
"ahli suluk"	noun
